datetime,product_name,amount,payment_method,customer_type
2024/1/1 17:34,崎陽軒風シウマイ弁当,1200,現金,tourist
2024/1/1 13:33,崎陽軒風シウマイ弁当,1200,カード,tourist
2024/1/1 15:24,崎陽軒風シウマイ弁当,1200,カード,tourist
2024/1/1 11:35,崎陽軒風シウマイ弁当,1200,現金,tourist
2024/1/1 14:24,崎陽軒風シウマイ弁当,1200,現金,tourist
2024/1/1 12:49,崎陽軒風シウマイ弁当,1200,現金,tourist
2024/1/1 14:11,温かいうどん弁当,420,電子マネー,tourist
2024/1/1 14:16,崎陽軒風シウマイ弁当,1200,電子マネー,tourist
2024/1/1 11:26,崎陽軒風シウマイ弁当,1200,電子マネー,tourist
2024/1/1 17:12,崎陽軒風シウマイ弁当,1200,カード,tourist
2024/1/1 13:28,崎陽軒風シウマイ弁当,1200,カード,tourist
2024/1/1 15:25,豚汁セット,380,電子マネー,tourist
2024/1/1 12:19,赤レンガ倉庫弁当,1080,現金,tourist
2024/1/1 14:34,崎陽軒風シウマイ弁当,1200,電子マネー,tourist
2024/1/1 16:28,崎陽軒風シウマイ弁当,1200,カード,tourist
2024/1/1 12:26,崎陽軒風シウマイ弁当,1200,現金,tourist
2024/1/1 12:43,温かいうどん弁当,420,電子マネー,tourist
2024/1/1 13:31,崎陽軒風シウマイ弁当,1200,カード,tourist
2024/1/1 12:57,崎陽軒風シウマイ弁当,1200,現金,tourist
2024/1/1 17:04,崎陽軒風シウマイ弁当,1200,電子マネー,tourist
2024/1/1 12:13,崎陽軒風シウマイ弁当,1200,現金,tourist
2024/1/1 15:21,豚汁セット,380,カード,tourist
2024/1/1 11:29,崎陽軒風シウマイ弁当,1200,カード,tourist
2024/1/1 12:58,崎陽軒風シウマイ弁当,1200,現金,tourist
2024/1/1 18:52,豚汁セット,380,現金,tourist
2024/1/1 15:22,崎陽軒風シウマイ弁当,1200,現金,tourist
2024/1/1 16:55,崎陽軒風シウマイ弁当,1200,カード,tourist
2024/1/1 12:07,崎陽軒風シウマイ弁当,1200,電子マネー,tourist
2024/1/1 16:12,崎陽軒風シウマイ弁当,1200,電子マネー,tourist
2024/1/1 15:22,崎陽軒風シウマイ弁当,1200,現金,tourist
2024/1/4 16:34,温かいうどん弁当,420,現金,student
2024/1/4 13:52,鮭の塩焼き弁当,650,現金,worker
2024/1/4 12:45,温かいうどん弁当,420,現金,worker
2024/1/4 14:59,温かいうどん弁当,420,電子マネー,worker
2024/1/4 16:14,温かいうどん弁当,420,現金,student
2024/1/4 12:30,豚汁セット,380,電子マネー,worker
2024/1/4 13:31,豆腐ハンバーグ弁当,590,現金,worker
2024/1/4 11:58,豚汁セット,380,電子マネー,worker
2024/1/4 12:39,豚汁セット,380,現金,worker
2024/1/4 13:22,温かいうどん弁当,420,カード,worker
2024/1/4 13:47,豆腐ハンバーグ弁当,590,現金,worker
2024/1/4 16:38,豚汁セット,380,カード,student
2024/1/4 16:53,温かいうどん弁当,420,カード,student
2024/1/4 17:05,からあげ弁当,350,現金,student
2024/1/4 12:13,温かいうどん弁当,420,カード,student
